"id","english_text","chinese_text","category"
"b1e2e3b4-9a1f-4b2a-8e1d-1a2b3c4d5e6a","Stay hungry, stay foolish.","求知若饥，虚心若愚。","Inspiration"
"a2b3c4d5-6e7f-8a9b-0c1d-2e3f4a5b6c7d","Love is the only force capable of transforming an enemy into a friend.","爱是唯一能将敌人变为朋友的力量。","Love"
"c3d4e5f6-7a8b-9c0d-1e2f-3a4b5c6d7e8f","Success is not final, failure is not fatal: It is the courage to continue that counts.","成功不是终点，失败也不是末日，最重要的是继续前进的勇气。","Success"
"d4e5f6a7-8b9c-0d1e-2f3a-4b5c6d7e8f9a","The only true wisdom is in knowing you know nothing.","真正的智慧是知道自己一无所知。","Wisdom"
"e5f6a7b8-9c0d-1e2f-3a4b-5c6d7e8f9a0b","Motivation is what gets you started. Habit is what keeps you going.","动力让你开始，习惯让你坚持。","Motivation"
"f6a7b8c9-0d1e-2f3a-4b5c-6d7e8f9a0b1c","Life is what happens when you're busy making other plans.","当你忙于制定其他计划时，生活已经发生。","Life"
"a7b8c9d0-1e2f-3a4b-5c6d-7e8f9a0b1c2d","Happiness depends upon ourselves.","幸福取决于我们自己。","Happiness"
"b8c9d0e1-2f3a-4b5c-6d7e-8f9a0b1c2d3e","The simple act of caring is heroic.","关心他人本身就是一种英雄行为。","Compassion"
"c9d0e1f2-3a4b-5c6d-7e8f-9a0b1c2d3e4f","Family and friendships are two of the greatest facilitators of happiness.","家庭和友谊是幸福的两大源泉。","Friends & Family"
"d0e1f2a3-4b5c-6d7e-8f9a-0b1c2d3e4f5a","Keep your face always toward the sunshine—and shadows will fall behind you.","永远面向阳光，阴影就会落在你身后。","Optimism"
"e1f2a3b4-5c6d-7e8f-9a0b-1c2d3e4f5a6b","Dreams are the seeds of change. Nothing ever grows without a seed, and nothing ever changes without a dream.","梦想是改变的种子。没有种子就没有成长，没有梦想就没有改变。","Inspiration"
"f2a3b4c5-6d7e-8f9a-0b1c-2d3e4f5a6b7c","Love recognizes no barriers. It jumps hurdles, leaps fences, penetrates walls to arrive at its destination full of hope.","爱不设障碍。它跨越障碍，穿越围墙，满怀希望到达终点。","Love"
"a3b4c5d6-7e8f-9a0b-1c2d-3e4f5a6b7c8d","Success is walking from failure to failure with no loss of enthusiasm.","成功就是在一次次失败中依然充满热情地前行。","Success"
"b4c5d6e7-8f9a-0b1c-2d3e-4f5a6b7c8d9e","Wisdom begins in wonder.","智慧始于好奇。","Wisdom"
"c5d6e7f8-9a0b-1c2d-3e4f-5a6b7c8d9e0f","The secret of getting ahead is getting started.","取得进步的秘诀就是开始行动。","Motivation"
"d6e7f8a9-0b1c-2d3e-4f5a-6b7c8d9e0f1a","Life is really simple, but we insist on making it complicated.","生活其实很简单，但我们总是把它复杂化。","Life"
"e7f8a9b0-1c2d-3e4f-5a6b-7c8d9e0f1a2b","Happiness is not something ready made. It comes from your own actions.","幸福不是现成的，它来自你的行动。","Happiness"
"f8a9b0c1-2d3e-4f5a-6b7c-8d9e0f1a2b3c","Compassion is the basis of morality.","同情是道德的基础。","Compassion"
"a9b0c1d2-3e4f-5a6b-7c8d-9e0f1a2b3c4d","A happy family is but an earlier heaven.","幸福的家庭就是人间天堂。","Friends & Family"
"b0c1d2e3-4f5a-6b7c-8d9e-0f1a2b3c4d5e","Choose to be optimistic, it feels better.","选择乐观，感觉会更好。","Optimism"
"c1e2f3a4-5b6c-7d8e-9f0a-1b2c3d4e5f6a","The best way to get started is to quit talking and begin doing.","开始的最好方法就是停止空谈并开始行动。","Motivation"
"d2f3a4b5-6c7d-8e9f-0a1b-2c3d4e5f6a7b","Do not let what you cannot do interfere with what you can do.","不要让你不能做的事妨碍你能做的事。","Inspiration"
"e3a4b5c6-7d8e-9f0a-1b2c-3d4e5f6a7b8c","It always seems impossible until it's done.","在事情完成之前，总觉得不可能。","Motivation"
"f4b5c6d7-8e9f-0a1b-2c3d-4e5f6a7b8c9d","The only limit to our realization of tomorrow is our doubts of today.","我们实现明天目标的唯一障碍，是今天的疑虑。","Optimism"
"a5c6d7e8-9f0a-1b2c-3d4e-5f6a7b8c9d0e","Happiness is not by chance, but by choice.","幸福不是偶然，而是选择。","Happiness"
"b6d7e8f9-0a1b-2c3d-4e5f-6a7b8c9d0e1f","The greatest glory in living lies not in never falling, but in rising every time we fall.","人生最大的荣耀不在于从不跌倒，而在于每次跌倒后都能站起来。","Life"
"c7e8f9a0-1b2c-3d4e-5f6a-7b8c9d0e1f2a","To love and be loved is to feel the sun from both sides.","爱与被爱，如同阳光照耀的两面。","Love"
"d8f9a0b1-2c3d-4e5f-6a7b-8c9d0e1f2a3b","The mind is everything. What you think you become.","心念即一切，你所想即你所成。","Wisdom"
"e9a0b1c2-3d4e-5f6a-7b8c-9d0e1f2a3b4c","Kindness is a language which the deaf can hear and the blind can see.","善良是一种语言，聋子能听见，瞎子能看见。","Compassion"
"f0b1c2d3-4e5f-6a7b-8c9d-0e1f2a3b4c5d","The journey of a thousand miles begins with one step.","千里之行，始于足下。","Motivation"
"a1b2c3d4-5e6f-7a8b-9c0d-1e2f3a4b5c6d","Where there is love there is life.","有爱的地方就有生命。","Love"
"b2c3d4e5-6f7a-8b9c-0d1e-2f3a4b5c6d7e","The only way to do great work is to love what you do.","成就伟业的唯一方法就是热爱你的工作。","Success"
"c3d4e5f6-7a8b-9c0d-1e2f-3a4b5c6d7e9f","You are never too old to set another goal or to dream a new dream.","设立新目标或梦想新梦想永远不嫌晚。","Inspiration"
